"filename", "language", "TypeScript", "JSON with Comments", "Svelte", "JSON", "CSS", "Markdown", "JavaScript", "YAML", "comment", "blank", "total"
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\TaskTile\TaskTileProps.svelte", "Svelte", 0, 0, 208, 0, 0, 0, 0, 0, 0, 27, 235
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\TaskTile\TrailingMenu.svelte", "Svelte", 0, 0, 84, 0, 0, 0, 0, 0, 0, 10, 94
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\TextSuggest.svelte", "Svelte", 0, 0, 72, 0, 0, 0, 0, 0, 0, 10, 82
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\TimerOpenBtn.svelte", "Svelte", 0, 0, 39, 0, 0, 0, 0, 0, 0, 9, 48
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\ViewSourceBtn.svelte", "Svelte", 0, 0, 38, 0, 0, 0, 0, 0, 0, 7, 45
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\main.ts", "TypeScript", 188, 0, 0, 0, 0, 0, 0, 0, 34, 30, 252
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\timer.worker.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\styles.css", "CSS", 0, 0, 0, 0, 87, 0, 0, 0, 1, 13, 101
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\tests\state.test.ts", "TypeScript", 210, 0, 0, 0, 0, 0, 0, 0, 0, 7, 217
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\tsconfig.json", "JSON with Comments", 0, 4, 0, 0, 0, 0, 0, 0, 23, 0, 27
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\types\asset.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6
"Total", "-", 4688, 4, 2801, 18551, 87, 113, 94, 91, 1144, 1371, 28944
